condition,fold,test_zone,geometry_seed,n_csi_repeats,test_nrmse_mean,theta_hat_mean,theta_abs_error_mean,test_squared_error_mean,test_truth_energy
D0,4,Z4-center,3,20,0.0002492941115860186,0.9993944812491499,0.0011952521452949726,5.960146401059322e-09,0.0616324516384676
D0,4,Z4-center,4,20,0.00024856411726919,0.9997798428978715,0.0011915572491591419,5.886631224053562e-09,0.0616324516384676
D1,0,Z0-south,0,20,0.09315964453955418,0.7407642733338523,0.2592357266661476,0.0001891192464683939,0.021790339513437923
D1,0,Z0-south,1,20,0.12093023076538804,0.6576047210595722,0.34239527894042776,0.00031867159188620067,0.021790339513437923
D1,0,Z0-south,2,20,0.05854322531655305,0.8640716198521121,0.135928380147888,7.468674060441373e-05,0.021790339513437923
D1,0,Z0-south,3,20,0.16463894041388075,0.5147417380546733,0.48525826194532673,0.0005906586526266573,0.021790339513437923
D1,0,Z0-south,4,20,0.022220552796760835,1.0162953227441274,0.016295322744127438,1.0759355212188553e-05,0.021790339513437923
D1,1,Z1-east,0,20,0.2243098014913615,0.9678374838760645,0.03216251612393556,0.01606083949607507,0.3192063287804825
D1,1,Z1-east,1,20,0.2549197122487517,0.9923127836229846,0.007687216377015499,0.02074333398424888,0.3192063287804825
D1,1,Z1-east,2,20,0.16484779281344983,0.9728152262584503,0.02718477374154969,0.008674372659462233,0.3192063287804825
D1,1,Z1-east,3,20,0.2819493230600942,0.9664441763165327,0.03355582368346763,0.02537545328768636,0.3192063287804825
D1,1,Z1-east,4,20,0.11461369937572681,1.0024762956128637,0.0027832686121990746,0.004193190280792439,0.3192063287804825
D1,2,Z2-north,0,20,0.0423607449639685,0.7326948541082293,0.26730514589177057,0.0003339316421084932,0.18609049674489903
D1,2,Z2-north,1,20,0.05083158391169261,0.640424659744992,0.359575340255008,0.0004808399522465478,0.18609049674489903
D1,2,Z2-north,2,20,0.030868214038103282,0.8647074779585981,0.13529252204140185,0.00017731721563126287,0.18609049674489903
D1,2,Z2-north,3,20,0.06843864174942396,0.5000000000000345,0.49999999999996547,0.0008716195422871665,0.18609049674489903
D1,2,Z2-north,4,20,0.002717195871022629,1.0172140580834736,0.017214058083473295,1.3780470916439134e-06,0.18609049674489903
D1,3,Z3-west,0,20,0.4988470284219478,0.7649483218269376,0.23505167817306233,1.7290270353008954e-05,6.94805550797447e-05
D1,3,Z3-west,1,20,0.5869805297415869,0.6992219687430311,0.30077803125696895,2.3939663197544705e-05,6.94805550797447e-05
D1,3,Z3-west,2,20,0.3160380966384671,0.8766189547242321,0.12338104527576783,6.939920265500299e-06,6.94805550797447e-05
D1,3,Z3-west,3,20,0.681763766703059,0.59794951042798,0.4020504895720201,3.229507867912413e-05,6.94805550797447e-05
D1,3,Z3-west,4,20,0.2523405645750626,1.0150071098951983,0.015007109895198201,4.424255845162179e-06,6.94805550797447e-05
D1,4,Z4-center,0,20,0.05595166135689711,0.7492669496909639,0.2507330503090362,0.00019294824789144175,0.0616324516384676
