condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D0,0,Z0-south,83,3,0.999347594708274,0.0006524052917260548,0.0002502538436701854,0.0016046555169927684,0.008944643898826562,1.3646632935637932e-09,0.021790339513437923,0,0
D0,0,Z0-south,84,4,1.0017978854944967,0.001797885494496665,0.0006901122644775624,0.0044253565535715975,0.024667863064038908,1.037775678487057e-08,0.021790339513437923,0,0
D0,0,Z0-south,85,0,1.001737402469507,0.0017374024695069323,0.0006668848954427734,0.004276403948538594,0.023837567275780708,9.690936749208442e-09,0.021790339513437923,0,0
D0,0,Z0-south,86,1,0.9993582123084978,0.0006417876915022491,0.0002461817988082219,0.0015785455422161637,0.008799102287133936,1.32061394339862e-09,0.021790339513437923,0,0
D0,0,Z0-south,87,2,1.0013598077545187,0.001359807754518716,0.0005218943232120004,0.0033466181666911106,0.01865473378917125,5.93511506197993e-09,0.021790339513437923,0,0
D0,0,Z0-south,88,3,0.9991237178912408,0.0008762821087592298,0.0003361091501890396,0.002155156920377385,0.012013234653409382,2.4616407273370756e-09,0.021790339513437923,0,0
D0,0,Z0-south,89,4,1.0013396311881766,0.0013396311881765932,0.0005141476844756965,0.0032969415565311786,0.018377825492685972,5.760229214877445e-09,0.021790339513437923,0,0
D0,0,Z0-south,90,0,1.0021183005389993,0.002118300538999307,0.0008131746152452467,0.005214539327462003,0.029066951158670053,1.4408926391083016e-08,0.021790339513437923,0,0
D0,0,Z0-south,91,1,1.0017135826826484,0.001713582682648429,0.0006577375674216207,0.004217744039727677,0.023510583621779265,9.426908518418848e-09,0.021790339513437923,0,0
D0,0,Z0-south,92,2,1.0014225106974788,0.0014225106974787849,0.0005459691920769072,0.003501002602186729,0.01951530655878235,6.49531579897643e-09,0.021790339513437923,0,0
D0,0,Z0-south,93,3,0.9997852217740304,0.00021477822596960294,8.239599499526833e-05,0.0005283382391916034,0.0029450565498943893,1.4793679380024002e-10,0.021790339513437923,0,0
D0,0,Z0-south,94,4,0.9981042612817503,0.0018957387182496621,0.0007269297541986185,0.004661006113058965,0.025981243517550927,1.1514600851703046e-08,0.021790339513437923,0,0
D0,0,Z0-south,95,0,0.9976742227586068,0.0023257772413931566,0.0008917239900729967,0.005717588701045704,0.031870790794212255,1.7327060758207407e-08,0.021790339513437923,0,0
D0,0,Z0-south,96,1,1.000616853532358,0.0006168535323580748,0.0002366997655670062,0.0015177948574807095,0.008460486764969875,1.2208425366787363e-09,0.021790339513437923,0,0
