group,repeat,depth_repeat,theta_hat,theta_abs_error,test_complex_nrmse,test_amplitude_rms_db,test_phase_rms_deg,theta_ci_covers_truth
SIM-A,138,,1.0005213185261415,0.0005213185261414566,9.106688486054749e-05,0.00044500569880120706,0.004167618222677161,1
SIM-A,139,,0.997930157431352,0.0020698425686479505,0.00036116035241140807,0.0017647322351620118,0.01652765638787531,1
SIM-A,140,,1.0020664211638137,0.0020664211638137253,0.0003612195218838312,0.0017651949546623406,0.016531344566787377,1
SIM-A,141,,1.0048423580819934,0.004842358081993403,0.0008474998363188137,0.004141824989103842,0.03878764176111339,1
SIM-A,142,,1.0045468388102807,0.004546838810280729,0.0007956751677862773,0.0038885222293053184,0.0364156267392582,1
SIM-A,143,,1.0017251903213005,0.0017251903213004738,0.0003015256174481755,0.0014734724532757936,0.013799364581404943,1
SIM-A,144,,0.9980820148070468,0.0019179851929531644,0.00033468556387983143,0.0016353745536908315,0.015316133699155347,1
SIM-A,145,,1.0052451129866204,0.005245112986620448,0.0009181519150644757,0.004487156797561452,0.04202141767559525,1
SIM-A,146,,1.0033288988554907,0.003328898855490703,0.0005822293979624062,0.002845308354842759,0.026646414490400814,1
SIM-A,147,,1.0032826326372941,0.003282632637294114,0.0005741256820671572,0.002805702853610832,0.02627552143304761,1
SIM-A,148,,0.9966031110393871,0.003396888960612854,0.0005923670993154182,0.0028943878898403923,0.027107763145986563,1
SIM-A,149,,1.005662543798604,0.005662543798603981,0.000991404892727549,0.004845209292521879,0.04537427462077445,1
SIM-A,150,,0.9936737829643733,0.006326217035626747,0.001101780508386982,0.00538311447300273,0.05041721425086972,1
SIM-A,151,,0.9980990974755489,0.0019009025244510758,0.00033170715330448595,0.0016208217748092482,0.015179837201471166,1
SIM-A,152,,1.0037925601693272,0.0037925601693271638,0.0006634597727249079,0.003242312984319677,0.030364214185117807,1
SIM-A,153,,1.0089418378477828,0.008941837847782796,0.0015678096486878826,0.007662908364251067,0.07175813735345245,0
SIM-A,154,,1.000235754475033,0.00023575447503310087,4.117776282644377e-05,0.00020121709191477864,0.0018844665056058395,1
SIM-A,155,,0.9970256888321997,0.0029743111678003364,0.0005187720765788735,0.002534816221544789,0.02374007282593691,1
SIM-A,156,,1.0022357516701321,0.0022357516701321245,0.00039084834522062504,0.0019099920781168467,0.017887361236103662,1
SIM-A,157,,0.9977628116818784,0.0022371883181215857,0.0003903312891322162,0.0019072624718304916,0.017862552245312063,1
SIM-A,158,,1.0018538599597422,0.0018538599597421879,0.00032403259610114786,0.0015834628640181894,0.014829426745198066,1
SIM-A,159,,0.9949535472105082,0.005046452789491784,0.0008793893420737779,0.0042966642779979376,0.04024142136168873,1
SIM-A,160,,0.9996093153505958,0.0003906846494041716,6.821966211306353e-05,0.00033335365789789913,0.0031219887628062444,1
SIM-A,161,,1.007284148613559,0.007284148613559083,0.0012762281031567,0.006237473388058366,0.05841124959470603,0
SIM-A,162,,1.000259533028133,0.0002595330281329744,4.533148813771002e-05,0.00022151459361798034,0.0020745590397796693,1
SIM-A,163,,0.9980627890233001,0.0019372109766998546,0.00033803757904937596,0.001651752784507067,0.015469526816863026,1
SIM-A,164,,1.0018822428447338,0.0018822428447338169,0.000328997692032385,0.0016077271199628302,0.015056661541215982,1
SIM-A,165,,0.9994519832458088,0.0005480167541912495,9.568569617503505e-05,0.00046756400772382186,0.004378928045341316,1
SIM-A,166,,0.9974149256375132,0.0025850743624867834,0.00045095944633549516,0.0022034904292268886,0.020636945840334594,1
SIM-A,167,,1.0003454401120266,0.0003454401120266404,6.0338777810680275e-05,0.00029484907435679115,0.002761358955868205,1
